番号区画コード,MA,番号,市外局番,市内局番,事業者,使用状況,備考
001,札幌,011200,011,200,東日本電信電話株式会社,使用中,
001,札幌,011201,011,201,東日本電信電話株式会社,使用中,
001,札幌,011202,011,202,東日本電信電話株式会社,使用中,
001,札幌,011203,011,203,東日本電信電話株式会社,使用中,
001,札幌,011204,011,204,東日本電信電話株式会社,使用中,
001,札幌,011205,011,205,東日本電信電話株式会社,使用中,
001,札幌,011206,011,206,東日本電信電話株式会社,使用中,
001,札幌,011207,011,207,東日本電信電話株式会社,使用中,
001,札幌,011208,011,208,東日本電信電話株式会社,使用中,
001,札幌,011209,011,209,東日本電信電話株式会社,使用中,
001,札幌,011210,011,210,東日本電信電話株式会社,使用中,
001,札幌,011211,011,211,東日本電信電話株式会社,使用中,
001,札幌,011212,011,212,東日本電信電話株式会社,使用中,
001,札幌,011213,011,213,東日本電信電話株式会社,使用中,
001,札幌,011214,011,214,東日本電信電話株式会社,使用中,
001,札幌,011215,011,215,東日本電信電話株式会社,使用中,
001,札幌,011216,011,216,,未使用,
001,札幌,011217,011,217,,未使用,
001,札幌,011218,011,218,東日本電信電話株式会社,使用中,
001,札幌,011219,011,219,東日本電信電話株式会社,使用中,
001,札幌,011220,011,220,,未使用,
001,札幌,011221,011,221,東日本電信電話株式会社,使用中,
001,札幌,011222,011,222,東日本電信電話株式会社,使用中,
001,札幌,011223,011,223,東日本電信電話株式会社,使用中,
001,札幌,011224,011,224,,未使用,
001,札幌,011225,011,225,,未使用,
001,札幌,011226,011,226,,未使用,
001,札幌,011227,011,227,,未使用,
001,札幌,011228,011,228,,未使用,
001,札幌,011229,011,229,,未使用,
001,札幌,011230,011,230,,未使用,
001,札幌,011231,011,231,東日本電信電話株式会社,使用中,
001,札幌,011232,011,232,東日本電信電話株式会社,使用中,
001,札幌,011233,011,233,東日本電信電話株式会社,使用中,
001,札幌,011234,011,234,楽天モバイル株式会社,使用中,
001,札幌,011235,011,235,,未使用,
001,札幌,011236,011,236,,未使用,
001,札幌,011237,011,237,,未使用,
001,札幌,011238,011,238,,未使用,
001,札幌,011239,011,239,,未使用,
001,札幌,011240,011,240,,未使用,
001,札幌,011241,011,241,東日本電信電話株式会社,使用中,
001,札幌,011242,011,242,東日本電信電話株式会社,使用中,
001,札幌,011243,011,243,,未使用,
001,札幌,011244,011,244,,未使用,
001,札幌,011245,011,245,,未使用,
001,札幌,011246,011,246,,未使用,
001,札幌,011247,011,247,,未使用,
001,札幌,011248,011,248,,未使用,
001,札幌,011249,011,249,,未使用,
001,札幌,011250,011,250,,未使用,
001,札幌,011251,011,251,東日本電信電話株式会社,使用中,
001,札幌,011252,011,252,東日本電信電話株式会社,使用中,
001,札幌,011253,011,253,,未使用,
001,札幌,011254,011,254,,未使用,
001,札幌,011255,011,255,,未使用,
001,札幌,011256,011,256,,未使用,
001,札幌,011257,011,257,,未使用,
001,札幌,011258,011,258,,未使用,
001,札幌,011259,011,259,,未使用,
001,札幌,011260,011,260,,未使用,
001,札幌,011261,011,261,東日本電信電話株式会社,使用中,
001,札幌,011262,011,262,,未使用,
001,札幌,011263,011,263,,未使用,
001,札幌,011264,011,264,,未使用,
001,札幌,011265,011,265,,未使用,
001,札幌,011266,011,266,,未使用,
001,札幌,011267,011,267,,未使用,
001,札幌,011268,011,268,,未使用,
001,札幌,011269,011,269,,未使用,
001,札幌,011270,011,270,,未使用,
001,札幌,011271,011,271,東日本電信電話株式会社,使用中,
001,札幌,011272,011,272,東日本電信電話株式会社,使用中,
001,札幌,011273,011,273,,未使用,
001,札幌,011274,011,274,,未使用,
001,札幌,011275,011,275,,未使用,
001,札幌,011276,011,276,,未使用,
001,札幌,011277,011,277,,未使用,
001,札幌,011278,011,278,,未使用,
001,札幌,011279,011,279,,未使用,
001,札幌,011280,011,280,東日本電信電話株式会社,使用中,
001,札幌,011281,011,281,東日本電信電話株式会社,使用中,
001,札幌,011282,011,282,,未使用,
001,札幌,011283,011,283,,未使用,
001,札幌,011284,011,284,,未使用,
001,札幌,011285,011,285,,未使用,
001,札幌,011286,011,286,,未使用,
001,札幌,011287,011,287,,未使用,
001,札幌,011288,011,288,,未使用,
001,札幌,011289,011,289,,未使用,
001,札幌,011290,011,290,東日本電信電話株式会社,使用中,
001,札幌,011291,011,291,,未使用,
001,札幌,011292,011,292,,未使用,
001,札幌,011293,011,293,,未使用,
001,札幌,011294,011,294,,未使用,
001,札幌,011295,011,295,,未使用,
001,札幌,011296,011,296,,未使用,
001,札幌,011297,011,297,,未使用,
001,札幌,011298,011,298,,未使用,
001,札幌,011299,011,299,東日本電信電話株式会社,使用中,
001,札幌,011300,011,300,ＫＤＤＩ株式会社,使用中,
001,札幌,011301,011,301,ＫＤＤＩ株式会社,使用中,
001,札幌,011302,011,302,ＫＤＤＩ株式会社,使用中,
001,札幌,011303,011,303,ＫＤＤＩ株式会社,使用中,
001,札幌,011304,011,304,,未使用,
001,札幌,011305,011,305,,未使用,
001,札幌,011306,011,306,,未使用,
001,札幌,011307,011,307,,未使用,
001,札幌,011308,011,308,,未使用,
001,札幌,011309,011,309,,未使用,
001,札幌,011310,011,310,,未使用,
001,札幌,011311,011,311,ＫＤＤＩ株式会社,使用中,
001,札幌,011312,011,312,ＫＤＤＩ株式会社,使用中,
001,札幌,011313,011,313,ＫＤＤＩ株式会社,使用中,
001,札幌,011314,011,314,ＫＤＤＩ株式会社,使用中,
001,札幌,011315,011,315,,未使用,
001,札幌,011316,011,316,,未使用,
001,札幌,011317,011,317,,未使用,
001,札幌,011318,011,318,,未使用,
001,札幌,011319,011,319,,未使用,
001,札幌,011320,011,320,,未使用,
001,札幌,011321,011,321,,未使用,
001,札幌,011322,011,322,,未使用,
001,札幌,011323,011,323,,未使用,
001,札幌,011324,011,324,,未使用,
001,札幌,011325,011,325,ＫＤＤＩ株式会社,使用中,
001,札幌,011326,011,326,,未使用,
001,札幌,011327,011,327,,未使用,
001,札幌,011328,011,328,,未使用,
001,札幌,011329,011,329,,未使用,
001,札幌,011330,011,330,エヌ・ティ・ティ・コミュニケーションズ株式会社,使用中,
001,札幌,011331,011,331,,未使用,
001,札幌,011332,011,332,,未使用,
001,札幌,011333,011,333,,未使用,
001,札幌,011334,011,334,,未使用,
